Non-Eu Member States,BE,BG,CZ,DK,DE,EE,IE,GR,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
Nigeria,34,,,134,35,,23,19,54,84,,,1 012,,,,1,,0,90,50,,15,,,,33,500
Albania,6,,,,11,,1,8,17,,,45,,,,1,,,9,,,,,,,,,1 299
Viet Nam,5,,,2,2,4,2,,,,,,3,,,,,0,57,9,15,,,,1,2,," ""997"""
China,5,,,,8,,1,,86 205,,,26,,,,3,,1,33,27,,0,,,,4,,340
Eritrea,,,,1,,,,2,,,,,,,,,,,37,,,,,,,1,,246
India,13,,,,3,,1,,1,4,,11,17,,,,,,19,1,,3,,,,5,,171
Morocco,32,,,4,,,,5,9,49,,81,,,,1,,,30,2,2,,,,,3,,
Afghanistan,,,,2,,,,12,,5,3,,,,,,,,37,8,,,,,,15,,131
Philippines,1,,,,,,3,,,1,1,4,2,,,,,32,32,52,,3,,,1,2,,73
Pakistan,3,,,,3,,2,22,11,1,2,26,,,,1,,,1,,,5,,,,,,126
Ukraine,,,3,2,49,,,17,2,1,,9,4,,,,,2,13,9,48,0,,21,,4,,
Sudan,,,,1,,,,1,,,,,,,,,,,3,,,,,,,,,162
Bangladesh,3,,,1,,,,2,,15,,12,8,,,,,,2,,,0,,,,10,,98
Bosnia and Herzegovina,,,,,9,,,,9,5,2,11,,,,,,,11,83,,,,1,,,,
Ghana,3,,,,5,,2,2,3,1,,27,,,,,,,6,,,,,,,,,80
Ethiopia,3,,,1,,,1,,,,,,,,,,,1,1,7,,,,,,4,,101
"Iran, Islam ic Republic of",1,,,,,,,7,,,,,,,,,,,10,2,,,,,,1,,84
Thailand,9,,,9,6,,,,,3,2,,,,,,,,9,,,0,,,,27,,39
Som alia,,,,2,,,,1,,,,,,,,,,,8,5,,,,,,29,,58
Cam eroon,4,,,,3,,,7,1,17,,13,6,,,,,,8,3,,0,,,,3,,35
Uganda,,,,3,,,1,2,1,,,,,,,,,,44,,,,,,,1,,47
Brazil,3,,,,,,4,,8,20,,13,,,,5,,,17,1,,14,,,,,,
Serbia,5,,,1,10,,1,,,3,,6,,,,,,,4,23,,,,15,,,,
Sierra Leone,,,,,,,,,,,,6,,,,,,,,30,,,,,,,,20
Congo," the Dem ocratic""",1,,,,,,1,,,1,,6,,,,,,,30,1,4,0,,,,,20
Republic of the,1,,,,,,,,1,1,,,,,,,,,16,,,0,,,,,,42
Iraq,,,,,,,,1,,1,,,,,,,,,7,1,,,,,,12,,39
"Moldova, Republic of",1,,,,9,,,11,5,2,,13,2,,,1,,,3,1,,0,,7,,,,
Nepal,,,,,2,,,,,,,,,,,,,,6,4,,40,,,,3,,
Other non-EU citizenship,33,,0,6,30,1,11,32,53 181,,0,99,6,0,2,3,0,0,211,28,2,5,,4,0,14,0,128
