Country,2015 Children,2015 Adults,2015 % children,2016 Children,2016 Adults,2016 % children,2015-2016 Children,2015-2016 Adults,2015-2016 % children
Belgium,14,103,12.0,6,113,5.0,20,216,8.5
Bulgaria,33,376,8.1,25,422,5.6,58,798,6.8
Czech Republic,0,"0,4",0.0,0,14,0.0,0,18,0.0
Denm ark,6,87,6.5,9,112,7.4,15,199,7.0
Germ any,78,361,17.8,96,413,18.9,174,774,18.4
Estonia,11,2,84.6,8,2,80.0,19,4,82.6
Ireland,8,54,12.9,1,74,1.3,9,128,6.6
Greece,69,81,46.0,159,97,62.1,228,178,56.2
Spain,8,259,3.0,20,173,10.4,28,432,6.1
France,:,:,:,306,1.182,20.6,306,1.182,20.6
Croatia,7,31,18.4,11,19,36.7,18,50,26.5
Italy,71,710,9.1,117,762,13.3,188,1.472,11.3
Cyprus,4,42,8.7,1,43,2.3,5,85,5.6
Latvia,5,6,45.5,6,13,31.6,11,19,36.7
Lithuania,17,45,27.4,4,41,8.9,21,86,19.6
Luxem bourg,0,7,0.0,7,11,38.9,7,18,28.0
Hungary,356,151,70.2,271,218,55.4,627,"369""",63.0
Malta,2,2,50.0,0,34,0.0,2,36,5.3
Netherlands,288,716,28.7,227,581,28.1,515,1.297,28.4
Austria,150,206,42.1,12,240,4.8,162,446,26.6
Poland,:,:,:,:,:,:,:,:,:
Portugal,13,119,9.8,9,180,4.8,22,299,6.9
Rom ania,:,:,:,:,:,:,:,:,:
Slovenia,2,45,4.3,0,27,0.0,2,72,2.7
Slovakia,5,76,6.2,8,37,17.8,13,113,10.3
Finland,0,52,0.0,23,107,17.7,23,159,12.6
Sw eden,:,2,:,1,6,14.3,1,8,11.1
United Kingdom,:,:,:,:,:,:,:,:,:
