Country,Child N,Child %,Adult N,Adult %,Unknown N,Unknown %,Total N
BE,24,9,250,91,0,0,274
BG,7,25,21,75,0,0,28
CZ,:,:,:,:,:,:,:
DK,13,7,182,93,0,0,195
DE,335,24,955,69,90,7,1 380
EE,11,50,11,50,:,:,22
IE,0,0,182,100,0,0,182
EL,79,29,194,71,0,0,273
ES,30,7,428,93,:,:,458
FR,796,28,2 050,72,0,0,2 846
HR,18,17,87,83,:,:,105
IT,197,10,1 791,90,0,0,1 988
CY,22,8,268,92,:,:,290
LV,3,6,45,94,0,0,48
LT,9,9,95,91,:,:,104
LU,2,6,29,94,:,:,31
HU,512,55,422,45,:,:,934
MT,1,2,39,98,0,0,40
NL,256,16,1 364,84,4,0,1 624
AT,38,5,648,83,95,12,781
PL,30,4,620,92,25,4,675
PT,65,29,157,70,2,1,224
RO,552,48,607,52,0,0,1 159
SI,0,0,167,100,0,0,167
SK,23,16,121,84,0,0,144
FI,43,25,123,71,7,4,173
SE,:,:,:,:,:,:,:
UK,5 244,43,6 879,57,0,0,12 123
