Country,Male N,Male %,Female N,Female %,Other N,Other %,Unknown N,Unknown %,Total N
BE,144,53,130,47,0,0,0,0,274
BG,1,4,27,96,0,0,0,0,28
CZ,:,:,:,:,:,:,:,:,:
DK,69,35,121,62,5,3,0,0,195
DE,303,22,1 066,77,0,0,11,1,1 380
EE,3,14,19,86,:,:,:,:,22
IE,67,37,115,63,0,0,0,0,182
EL,64,23,209,77,0,0,0,0,273
ES,160,35,298,65,:,:,:,:,458
FR,702,25,2 134,75,0,0,10,0,2 846
HR,64,61,41,39,:,:,:,:,105
IT,229,11,1 743,88,16,1,0,0,1 988
CY,68,23,222,77,:,:,:,:,290
LV,8,17,28,58,12,25,0,0,48
LT,44,42,60,58,:,:,:,:,104
LU,12,39,19,61,:,:,:,:,31
HU,99,11,835,89,:,:,:,:,934
MT,14,35,26,65,0,0,0,0,40
NL,503,31,1 109,68,0,0,12,1,1 624
AT,109,14,672,86,0,0,0,0,781
PL,:,:,:,:,:,:,675,100,675
PT,118,53,104,46,0,0,2,1,224
RO,290,25,869,75,:,:,:,:,1 159
SI,32,19,135,81,0,0,0,0,167
SK,52,36,92,64,0,0,0,0,144
FI,67,39,106,61,0,0,0,0,173
SE,:,:,:,:,:,:,:,:,:
UK,6 941,57,5 175,43,7,0,0,0,12 123
