Eu Member States,RO,HU,NL,PL,BG,FR,UK,SK,DE,LT,PT,CZ,HR,LV,ES,IT,EE,AT,GR,BE,FI,SI,CY,LU,MT,SE,DK,IE,EU28
Romania,,2,109,1,,101,394,3,211,,76,7,,,99,147,,128,64,36,1,,18,6,,5,43,60,
Hungary,,993,65,,,11,70,,81,,,,1,,1,12,,74,3,13,,2,,,,,,1,
Netherlands,,,721,,,,,,2,,0,,,,,,,,,,,,,1,,,,,
Poland,,,159,118,,1,323,,26,,0,,,,,,,1,1,1,1,,,,,,1,2,
Bulgaria,,,126,3,,48,65,,167,,11,1,,,22,21,,47,26,8,,3,11,1,,4,1,3,
France,,,1,,,565,,,,,,,,,1,,,,,,,,,,,,,,
United Kingdom,,,,,,2,517,,,,,,,,,,,,,2,,,1,,,,,,
Slovakia,,1,14,,,,161,97,5,,,3,,,,,,19,,2,,2,2,,,,,4,
Germany,,,6,,,,,,225,,,,,,,,,,,,,,,,,,,,
Lithuania,,,7,,,,84,,,105,,,,1,17,,,2,,1,,,,,,,,9,
Portugal,,,2,,,12,,,,,135,,,,45,,,,,2,,,,,,,,1,
Czech Republic,,,9,,,,80,,12,,0,4,,,,,,11,,1,,7,3,,,,,1,
Croatia,,,1,,,,,,,,,,57,,3,11,,5,,,,,,,,,,,
Latvia,,,8,,,,21,,2,,,,,29,,,,1,,,1,,4,,,,,,
Spain,,,7,,,,7,,2,,,,,,25,,,,,4,,,,,,,,,
Italy,,,3,,,,6,,7,,,,,,1,9,,1,,1,,,,,1,,,1,
Estonia,,,,,,,,,2,,,,,,,,18,,,,1,,,,,,,,
Austria,,,2,,,,,,,,,,,,,,,16,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,16,,,,2,,,,,,
Belgium,,,4,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
Slovenia,,,,,,,,,,,,,,,1,,,,,,,5,,,,,,,
Cyprus,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
Luxem bourg,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Malta,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Sweden,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
