Country,victims 2017,victims 2018,victims 2017-2018,Gender Male N,Gender Male %,Gender Female N,Gender Female %,Gender Other N,Gender Other %,Gender Unknown N,Gender Unknown %,Gender Total N,Child N,Child %,Adult N,Adult %,Unknown N,Unknown %,Total N,Own Country N,Own Country %,Other EU Country N,Other EU Country %,Non-EU Country N,Non-EU Country %,Other N,Other %,Unknown N,Unknown %,Total N
BE,140,134,274,144,53,130,47,0,0,0,0,274,24,9,250,91,0,0,274,:,:,38,14,234,86,1,0,1,0,274
BG,19,9,28,1,4,27,96,0,0,0,0,28,7,25,21,75,0,0,28,27,96,:,:,:,:,:,:,1,4,28
CZ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
DK,98,97,195,69,35,121,62,5,3,0,0,195,13,7,182,93,0,0,195,1,1,8,4,186,95,:,:,:,:,195
DE,773,607,1 380,303,22,1 066,77,0,0,11,1,1 380,335,24,955,69,90,7,1 380,339,25,579,42,342,25,32,2,88,6,1 380
EE,10,12,22,3,14,19,86,:,:,:,:,22,11,50,11,50,:,:,22,18,82,:,:,4,18,:,:,:,:,22
IE,101,81,182,67,37,115,63,0,0,0,0,182,0,0,182,100,0,0,182,0,0,40,40,61,60,:,:,:,:,101
EL,144,129,273,64,23,209,77,0,0,0,0,273,79,29,194,71,0,0,273,16,6,40,14,186,67,:,:,35,13,277
ES,220,238,458,160,35,298,65,:,:,:,:,458,30,7,428,93,:,:,458,19,4,148,32,291,64,:,:,:,:,458
FR,1 321,1 525,2 846,702,25,2 134,75,0,0,10,0,2 846,796,28,2 050,72,0,0,2 846,1 039,36,414,15,1 085,38,291,10,17,1,2 846
HR,29,76,105,64,61,41,39,:,:,:,:,105,18,17,87,83,:,:,105,33,31,2,2,70,67,:,:,:,:,105
IT,1 062,926,1 988,229,11,1 743,88,16,1,0,0,1 988,197,10,1 791,90,0,0,1 988,:,:,92,5,1 750,88,146,7,:,:,1 988
CY,134,156,290,68,23,222,77,:,:,:,:,290,22,8,268,92,:,:,290,5,2,65,22,220,76,:,:,:,:,290
LV,25,23,48,8,17,28,58,12,25,0,0,48,3,6,45,94,0,0,48,46,96,:,:,2,4,:,:,:,:,48
LT,60,44,104,44,42,60,58,:,:,:,:,104,9,9,95,91,:,:,104,84,81,:,:,20,19,:,:,:,:,104
LU,17,14,31,12,39,19,61,:,:,:,:,31,2,6,29,94,:,:,31,:,:,7,23,24,77,:,:,:,:,31
HU,415,519,934,99,11,835,89,:,:,:,:,934,512,55,422,45,:,:,934,915,98,11,1,8,1,:,:,:,:,934
MT,5,35,40,14,35,26,65,0,0,0,0,40,1,2,39,98,0,0,40,1,2,2,5,37,93,:,:,:,:,40
NL,956,668,1 624,503,31,1 109,68,0,0,12,1,1 624,256,16,1 364,84,4,0,1 624,510,32,322,20,753,46,:,:,39,2,1 624
AT,390,391,781,109,14,672,86,0,0,0,0,781,38,5,648,83,95,12,781,23,3,257,31,512,61,41,5,5,0,838
PL,453,222,675,:,:,:,:,:,:,675,100,675,30,4,620,92,25,4,675,330,49,44,7,266,39,:,:,35,5,675
PT,103,121,224,118,53,104,46,0,0,2,1,224,65,29,157,70,2,1,224,47,21,36,16,136,61,2,1,3,1,224
RO,662,497,1 159,290,25,869,75,:,:,:,:,1 159,552,48,607,52,0,0,1 159,1 157,100,1,0,1,0,:,:,:,:,1 159
SI,66,101,167,32,19,135,81,0,0,0,0,167,0,0,167,100,0,0,167,4,2,66,40,84,50,2,1,11,7,167
SK,88,56,144,52,36,92,64,0,0,0,0,144,23,16,121,84,0,0,144,140,97,2,1,2,2,:,:,:,:,144
FI,85,88,173,67,39,106,61,0,0,0,0,173,43,25,123,71,7,4,173,15,9,12,7,141,81,:,:,5,3,173
SE,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
UK,5 138,6 985,12 123,6 941,57,5 175,43,7,0,0,0,12 123,5 244,43,6 879,57,0,0,12 123,2 444,20,1 500,12,8 168,68,1,0,4,0,12 117
