By using this data you agree to the Terms of Use: https://www.ctdatacollaborative.org/terms-use,yearOfRegistration,Datasource,gender,ageBroad,majorityStatus,majorityStatusAtExploit,majorityEntry,citizenship,meansOfControlDebtBondage,meansOfControlTakesEarnings,meansOfControlRestrictsFinancialAccess,meansOfControlThreats,meansOfControlPsychologicalAbuse,meansOfControlPhysicalAbuse,meansOfControlSexualAbuse,meansOfControlFalsePromises,meansOfControlPsychoactiveSubstances,meansOfControlRestrictsMovement,meansOfControlRestrictsMedicalCare,meansOfControlExcessiveWorkingHours,meansOfControlUsesChildren,meansOfControlThreatOfLawEnforcement,meansOfControlWithholdsNecessities,meansOfControlWithholdsDocuments,meansOfControlOther,meansOfControlNotSpecified,meansOfControlConcatenated,isForcedLabour,isSexualExploit,isOtherExploit,isSexAndLabour,isForcedMarriage,isForcedMilitary,isOrganRemoval,isSlaveryAndPractices,typeOfExploitConcatenated,typeOfLabourAgriculture,typeOfLabourAquafarming,typeOfLabourBegging,typeOfLabourConstruction,typeOfLabourDomesticWork,typeOfLabourHospitality,typeOfLabourIllicitActivities,typeOfLabourManufacturing,typeOfLabourMiningOrDrilling,typeOfLabourPeddling,typeOfLabourTransportation,typeOfLabourOther,typeOfLabourNotSpecified,typeOfLabourConcatenated,typeOfSexProstitution,typeOfSexPornography,typeOfSexRemoteInteractiveServices,typeOfSexPrivateSexualServices,typeOfSexConcatenated,isAbduction,RecruiterRelationship,CountryOfExploitation,recruiterRelationIntimatePartner,recruiterRelationFriend,recruiterRelationFamily,recruiterRelationOther,recruiterRelationUnknown
,2004,Case Management,Female,21--23,Adult,-99,-99,BY,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,0,1,0,0,0,0,0,-99,Sexual exploitation,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,-99,-99,-99,0,-99,CY,0,0,0,0,1
,2004,Case Management,Female,21--23,Adult,-99,-99,BY,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,0,1,0,0,0,0,0,-99,Sexual exploitation,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,-99,-99,-99,0,-99,CY,0,0,0,0,1
,2004,Case Management,Female,21--23,Adult,-99,-99,BY,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,0,1,0,0,0,0,0,-99,Sexual exploitation,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,-99,-99,-99,0,-99,CY,0,0,0,0,1
,2004,Case Management,Female,21--23,Adult,-99,-99,BY,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,0,1,0,0,0,0,0,-99,Sexual exploitation,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,-99,-99,-99,0,-99,CY,0,0,0,0,1
,2004,Case Management,Female,21--23,Adult,-99,-99,BY,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,0,1,0,0,0,0,0,-99,Sexual exploitation,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,-99,-99,-99,0,-99,CY,0,0,0,0,1
,2004,Case Management,Female,21--23,Adult,-99,-99,BY,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,0,1,0,0,0,0,0,-99,Sexual exploitation,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,-99,-99,-99,0,-99,CY,0,0,0,0,1
,2004,Case Management,Female,21--23,Adult,-99,-99,BY,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,0,1,0,0,0,0,0,-99,Sexual exploitation,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,-99,-99,-99,0,-99,CY,0,0,0,0,1
,2004,Case Management,Female,21--23,Adult,-99,-99,BY,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,0,1,0,0,0,0,0,-99,Sexual exploitation,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,-99,-99,-99,0,-99,CY,0,0,0,0,1
,2004,Case Management,Female,21--23,Adult,-99,-99,BY,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,0,1,0,0,0,0,0,-99,Sexual exploitation,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,-99,-99,-99,0,-99,CY,0,0,0,0,1
,2004,Case Management,Female,21--23,Adult,-99,-99,BY,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,0,1,0,0,0,0,0,-99,Sexual exploitation,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,-99,-99,-99,0,-99,CY,0,0,0,0,1
