Region,Sub Region,Country,Year,download,Indicator,Indicator Name,Numero di record,Value
Europe,Western Europe,Austria,2007,,7.1,Total detected victims,1,12
Europe,Western Europe,Austria,2008,,7.1,Total detected victims,1,4
Europe,Western Europe,Austria,2009,,7.1,Total detected victims,1,22
Europe,Western Europe,Austria,2010,,7.1,Total detected victims,1,14
Europe,Western Europe,Austria,2012,,7.1,Total detected victims,1,28
Europe,Western Europe,Austria,2013,,7.1,Total detected victims,1,23
Europe,Western Europe,Austria,2014,,7.1,Total detected victims,1,79
Europe,Western Europe,Austria,2015,,7.1,Total detected victims,1,126
Europe,Western Europe,Austria,2016,,7.1,Total detected victims,1,72
Europe,Western Europe,Belgium,2005,,7.1,Total detected victims,1,130
Europe,Western Europe,Belgium,2006,,7.1,Total detected victims,1,139
Europe,Western Europe,Belgium,2007,,7.1,Total detected victims,1,74
Europe,Western Europe,Belgium,2008,,7.1,Total detected victims,1,65
Europe,Western Europe,Belgium,2009,,7.1,Total detected victims,1,50
Europe,Western Europe,Belgium,2012,,7.1,Total detected victims,1,127
Europe,Western Europe,Belgium,2013,,7.1,Total detected victims,1,116
Europe,Western Europe,Belgium,2014,,7.1,Total detected victims,1,84
Europe,Western Europe,Belgium,2015,,7.1,Total detected victims,1,90
Europe,Western Europe,Belgium,2016,,7.1,Total detected victims,1,84
Europe,Eastern Europe,Bulgaria,2004,,7.1,Total detected victims,1,170
Europe,Eastern Europe,Bulgaria,2005,,7.1,Total detected victims,1,211
Europe,Eastern Europe,Bulgaria,2006,,7.1,Total detected victims,1,340
Europe,Eastern Europe,Bulgaria,2007,,7.1,Total detected victims,1,288
Europe,Eastern Europe,Bulgaria,2008,,7.1,Total detected victims,1,250
Europe,Eastern Europe,Bulgaria,2009,,7.1,Total detected victims,1,297
Europe,Eastern Europe,Bulgaria,2010,,7.1,Total detected victims,1,429
Europe,Eastern Europe,Bulgaria,2011,,7.1,Total detected victims,1,540
Europe,Eastern Europe,Bulgaria,2012,,7.1,Total detected victims,1,579
Europe,Eastern Europe,Bulgaria,2013,,7.1,Total detected victims,1,538
Europe,Eastern Europe,Bulgaria,2014,,7.1,Total detected victims,1,495
Europe,Eastern Europe,Bulgaria,2015,,7.1,Total detected victims,1,409
Europe,Eastern Europe,Bulgaria,2016,,7.1,Total detected victims,1,447
Europe,Eastern Europe,Bulgaria,2017,,7.1,Total detected victims,1,368
Asia,Western Asia,Cyprus,2007,,7.1,Total detected victims,1,54
Asia,Western Asia,Cyprus,2008,,7.1,Total detected victims,1,58
Asia,Western Asia,Cyprus,2009,,7.1,Total detected victims,1,113
Asia,Western Asia,Cyprus,2010,,7.1,Total detected victims,1,52
Asia,Western Asia,Cyprus,2011,,7.1,Total detected victims,1,40
